"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.4329488391,0.4336325,0.439624620055979,16572.5,0.95,0.352919,0.5154,0.5,4.76,NA,NA,NA,NA,NA
"kappa",22.2892674555,19.93025,14.7909089452633,13651.4,0.95,5.88707,45.0866,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.32286651554,0.3235335,0.32956434391754,17996.6,0.95,0.139129,0.501046,0.5,2.775,NA,NA,NA,NA,NA
"theta[2]",0.358025728075,0.3581785,0.363534822500733,18715.3,0.95,0.17142,0.538161,0.5,6.53,NA,NA,NA,NA,NA
"theta[3]",0.392841857235,0.392165,0.409278657597007,18767.3,0.95,0.209154,0.572176,0.5,12.22,NA,NA,NA,NA,NA
"theta[4]",0.392548891105,0.391787,0.389381822101281,19549.6,0.95,0.212185,0.573944,0.5,12.355,NA,NA,NA,NA,NA
"theta[5]",0.393198609935,0.3919245,0.388888440811032,19059,0.95,0.214046,0.579357,0.5,12.7,NA,NA,NA,NA,NA
"theta[6]",0.392688819985,0.391077,0.384619739214075,19271.3,0.95,0.20712,0.572001,0.5,12.505,NA,NA,NA,NA,NA
"theta[7]",0.39107049534,0.3887715,0.381032101094256,18938.4,0.95,0.214606,0.575553,0.5,12.24,NA,NA,NA,NA,NA
"theta[8]",0.392445160445,0.391962,0.400318107787981,19185.5,0.95,0.213966,0.575269,0.5,12.53,NA,NA,NA,NA,NA
"theta[9]",0.391542208565,0.390981,0.400420203492208,19152.6,0.95,0.211448,0.576959,0.5,11.945,NA,NA,NA,NA,NA
"theta[10]",0.392521075295,0.3917875,0.385857186776032,19570.9,0.95,0.211034,0.574073,0.5,12.405,NA,NA,NA,NA,NA
"theta[11]",0.427053922085,0.426028,0.43446039825964,19289.3,0.95,0.248023,0.612247,0.5,21.285,NA,NA,NA,NA,NA
"theta[12]",0.42692813753,0.4256835,0.418563966057813,20000,0.95,0.247673,0.616747,0.5,21.565,NA,NA,NA,NA,NA
"theta[13]",0.42586087126,0.4247925,0.417090390238513,19495.9,0.95,0.23563,0.603597,0.5,21.045,NA,NA,NA,NA,NA
"theta[14]",0.427102091795,0.4261925,0.429965866195643,20000,0.95,0.246784,0.606254,0.5,21.13,NA,NA,NA,NA,NA
"theta[15]",0.427316586335,0.4266645,0.432045317798686,18500.8,0.95,0.247746,0.60947,0.5,21.74,NA,NA,NA,NA,NA
"theta[16]",0.46085890585,0.4588835,0.44999029244071,19238.8,0.95,0.28097,0.647877,0.5,33.22,NA,NA,NA,NA,NA
"theta[17]",0.46077138762,0.459287,0.469565392194559,19088.2,0.95,0.280712,0.645722,0.5,32.98,NA,NA,NA,NA,NA
"theta[18]",0.461683395695,0.459242,0.45199730898794,20000,0.95,0.282763,0.649729,0.5,33.48,NA,NA,NA,NA,NA
"theta[19]",0.46124748805,0.4590315,0.459563965942632,19174.1,0.95,0.275704,0.644612,0.5,33.3,NA,NA,NA,NA,NA
"theta[20]",0.46098966905,0.4598885,0.470615586626507,19131.4,0.95,0.280984,0.648932,0.5,33.095,NA,NA,NA,NA,NA
"theta[21]",0.4609619929,0.4593115,0.447066515483323,20000,0.95,0.276513,0.64721,0.5,33.425,NA,NA,NA,NA,NA
"theta[22]",0.46095079795,0.4588355,0.44656254112135,19195.2,0.95,0.281669,0.649905,0.5,33.225,NA,NA,NA,NA,NA
"theta[23]",0.495914661,0.493579,0.504223420935047,19536,0.95,0.320582,0.694,0.5,47.5,NA,NA,NA,NA,NA
"theta[24]",0.4958833229,0.4927665,0.485204796391119,21030.2,0.95,0.317443,0.687197,0.5,46.915,NA,NA,NA,NA,NA
"theta[25]",0.5295887444,0.5264915,0.525814520656201,20000,0.95,0.347877,0.726348,0.5,60.79,NA,NA,NA,NA,NA
"theta[26]",0.5288804118,0.5261065,0.514655395354483,19382.5,0.95,0.337318,0.720317,0.5,60.655,NA,NA,NA,NA,NA
"theta[27]",0.52983436775,0.526258,0.518709722188833,18048.3,0.95,0.344659,0.726587,0.5,60.91,NA,NA,NA,NA,NA
"theta[28]",0.5639294075,0.560594,0.563021652130036,18101.1,0.95,0.375446,0.764632,0.5,72.89,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.104235576255,-0.10093,-0.112307228874807,20000,0.95,-0.359177,0.136161,0,20.265,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.24106289196,-0.234318,-0.231669267242605,17956.8,0.95,-0.528485,0.025734,0,3.55,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.136827315705,-0.132215,-0.131718324361718,18914.6,0.95,-0.412644,0.109864,0,14.76,NA,NA,NA,NA,NA
